X,Y,OBJECTID,ID,CD,NANOS,VZMPAT,VZMMPPT,PCDIFMMPT,DSFAIXADIF
-37.924,-6.96599999999995,237,237,37380000,,3.9,15.14,-74.22,"-74,9% a -50%"
-37.7979999999999,-6.72599999999994,238,238,37410000,,8.35,33.14,-74.8,"-74,9% a -50%"
-37.353,-6.37799999999993,239,239,37470000,,12.89,44.23,-70.86,"-74,9% a -50%"
-36.785,-6.59399999999994,240,240,37515000,,0.42,1.71,-75.71,-100% a -75%
-36.891,-5.61599999999993,241,241,37710150,,12.54,53.45,-76.53,-100% a -75%
-36.723,-5.25699999999995,242,242,37761000,,14.21,31.65,-55.11,"-74,9% a -50%"
-35.4209999999999,-5.62999999999994,243,243,38170000,,1.42,3.5,-59.25,"-74,9% a -50%"
-35.312,-6.06299999999993,244,244,38485000,,1.29,1.84,-29.77,"-49,9% a -25%"
-35.5289999999999,-6.60499999999996,245,245,38650000,,0.16,1.83,-91.2,-100% a -75%
-35.468,-7.02999999999997,246,246,38750000,,2.52,3.2,-21.42,"-24,9% a -5%"
-35.163,-6.85199999999998,247,247,38790000,,3.43,11.54,-70.25,"-74,9% a -50%"
-36.5049999999999,-7.72099999999995,248,248,38830000,,2.95,4.26,-30.57,"-49,9% a -25%"
-36.434,-7.39799999999997,249,249,38850000,,0.59,2.5,-76.34,-100% a -75%
-35.9999999999999,-7.52799999999996,250,250,38860000,,2.68,6.68,-59.91,"-74,9% a -50%"
-35.3729999999999,-7.33399999999995,251,251,38880000,,4.17,10.15,-58.9,"-74,9% a -50%"
-35.0479999999999,-7.12999999999994,252,252,38895000,,12.2,20.43,-40.3,"-49,9% a -25%"
-35.1179999999999,-7.55799999999994,253,253,39083000,,3.43,4.55,-24.48,"-24,9% a -5%"
-35.2329999999999,-7.75399999999996,254,254,39084010,,1.48,3.68,-59.69,"-74,9% a -50%"
-35.0649999999999,-7.61299999999994,255,255,39084020,,4.07,7.95,-48.78,"-49,9% a -25%"
-36.2019999999999,-7.96199999999993,256,256,39100000,,0.28,0.58,-50.83,"-74,9% a -50%"
-36.0579999999999,-8.01299999999998,257,257,39130000,,0.64,1.69,-62.3,"-74,9% a -50%"
-35.634,-7.94299999999993,258,258,39140000,,1.17,2.78,-58.06,"-74,9% a -50%"
-35.4519999999999,-7.87899999999996,259,259,39145000,,2.54,3.9,-34.91,"-49,9% a -25%"
-35.1729999999999,-7.89399999999995,260,260,39150000,,4.28,7.55,-43.24,"-49,9% a -25%"
-35.2839999999999,-8.11399999999998,261,261,39170000,,1.83,2.03,-9.7,"-24,9% a -5%"
